Дата проведения,Название выставки,Клуб-организатор
4-6 января 2016г.,«НОВОГОДНЯЯ ЗВЕЗДА»,"ВФЦ ""АСТРА"";"
4-5 января 2016г.,«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ»,Alisa Best Cat Club;
4-6 января 2016г.,«РОЖДЕСТВЕНСКИЕ ВСТРЕЧИ В СОЧИ»,КЛК Диамант-Кристалл ;
4-5 января 2016г.,«БАСТЕТ-ШОУ»,КЛК Баст ;
3-5 января 2016г.,«ЗИМНЯЯ ВИШНЯ -2016»,ФЦ «Самарис»;
26-27 декабря 2015г.,«ЦВЕТОК САКУРЫ - С НОВЫМ ГОДОМ»,"КЛК ""Превосходные кошки"";"
19-20 декабря 2015г.,«НОВОГОДНИЙ КАРНАВАЛ»,"ПФЦ ""Астр Кэт"";"
19-20 декабря 2015г.,«СЕРЕБРЯНЫЙ ЮБИЛЕЙ - НАМ 25 ЛЕТ»,ВФЦ Содружество ;
19-20 декабря 2015г.,«РОЖДЕСТВЕНСКИЙ КАРНАВАЛ КОРОЛЕВСКИХ КОШEК»,Фелинологическая Ассоциация Заводчиков «Королевские Кошки»  Лига Заводчиков Северного Кавказа ;
19-20 декабря 2015г.,«КУЗБАСС КОТ»,"Фелинологический Центр ""КУЗБАСС КОТ"";"
19-20 декабря 2015г.,«ИРБИС»,Общество Любителей Кошек «ИРБИС»;
19-20 декабря 2015г.,«НОВОГОДНЕЕ ЧУДО-2015»,Объединение Любителей Сибирских Кошек;
19-20 декабря 2015г.,«КОТОПАТИ В НОВОГОДНЕМ ФОРМАТЕ»,Кошкин Дом-НН ;
19-20 декабря 2015г.,«САРАБИ»,Фелинологический Центр «САРАБИ»;
19-20 декабря 2015г.,«В ГОСТЯХ У САФФИ»,НП Общество любителей кошек «Саффи» ;
19-20 декабря 2015г.,«НОВОГОДНЕЕ НАСТРОЕНИЕ»,Фелинологическая федерация республики Башкортостан;
19-20 декабря 2015г.,«CAT-CHAT»,"Фелинологический Центр ""Cat-Chat"";"
19-20 декабря 2015г.,«АЛИСА-БЕСТ»,"Клуб любителей кошек ""Алиса-Бест"";"
12-13 декабря 2015г.,«FANCY CAT»,Association Fancy Cat & Veles ;
12-13 декабря 2015г.,«ХРУСТАЛЬНЫЙ КУБОК»,КЛЖ Ирбис ;
12-13 декабря 2015г.,«СНЕЖНЫЙ КОТ»,МЯУ-Клуб;
12-13 декабря 2015г.,«НОВОГОДНИЙ КОТОБУМ»,"""Черный Кот"", МоККо;"
12-13 декабря 2015г.,«АК БАРС»,АК БАРС;
12-13 декабря 2015г.,«КАРНАВАЛЬНАЯ НОЧЬ С UNION CATS»,Union Cats ;
12-13 декабря 2015г.,«ЗИМНИЙ  КУБОК КОТ-ИНФО»,КЛК Фауна ;
12-13 декабря 2015г.,«РЕПЕТИЦИЯ НОВОГО ГОДА»,Catland NN;
12-13 декабря 2015г.,«СНЕЖНОЕ КОТО-ШОУ»,Омский КЛК «Funny Cat club»;
12-13 декабря 2015г.,«УСАТЫЕ ВОЛШЕБНИКИ»,ООЛЖ Элитар-Клуб ;
12-13 декабря 2015г.,«РОЖДЕСТВЕНСКИЕ ЧУДЕСА»,КОТОФЕЙ;
12-13 декабря 2015г.,«НОВОГОДНЕЕ ШОУ КOШЕК»,Феличита;
5-6 декабря 2015г.,«ЗИМНИЕ ЗАБАВЫ В АРЕВИКЕ»,Клуб Любителей Кошек «АРЕВИК»;
5-6 декабря 2015г.,«ЗОЛОТАЯ КОШКА БЕЛАРУСИ»,"ФОО ""МИСТЕР КОТ"";"
5-6 декабря 2015г.,«СНЕЖНЫЙ КОТ»,"Клуб ""Garmoniya"";"
5-6 декабря 2015г.,«ЛУЧШАЯ КОШКА БЕЛАРУСИ 2015»,"БФЦ ""Фелита"";"
5-6 декабря 2015г.,«КЭТ-САЛОН-ДЕКАБРЬ»,"клуб любителей кошек ""Москва"";"
5-6 декабря 2015г.,«ЗИМНИЙ ВЕРНИСАЖ КОШАЧЬИХ»,Felidae;
5-6 декабря 2015г.,«ЗИМНЯЯ СКАЗКА»,ОО СКЛК «Дивные кошки»;
5-6 декабря 2015г.,"«ПРЯНИЧНЫЕ КОШКИ, ШЕСТОЙ  СЕЗОН»","клуб ""МИКС"";"
5-6 декабря 2015г.,«СИМБА + ФЕЛИССЕНТА»,"Клуб Любителей Кошек ""Симба"", Фелинологический центр «Фелиссента»;"
5-6 декабря 2015г.,«ФЕСТИВАЛЬ CFA»,Moscow Cat Fanciers;
22 ноября 2015г.,«ПОБЕДА»,"ОРФОО КЛК ""Фелис"";"
22 ноября 2015г.,«ТАГАНИЙ КОТ НА БОЛЬШОЙ ЧЕРЕПАХЕ 2015»,КЛК Бриз-Kiss;
14-15 ноября 2015г.,«MAU-FEST»,Альянс;
14 ноября 2015г.,«КЛК  ЭЛИТАР ДВ»,клк Элитар ДВ;
7-8 ноября 2015г.,«ЦАРСКИЕ ЗАБАВЫ»,Планета ТICA;
7-8 ноября 2015г.,«КОТОМАФИЯ»,"КЛК ""Магия кошек"";"
7-8 ноября 2015г.,«КРАСКИ ОСЕНИ»,"КЛК ""Евразия"";"
31 октября - 1 ноября 2015г.,«ОСЕННИЙ ВЕРНИСАЖ-2015»,"УРОФО ""Грация"";"
31 октября - 1 ноября 2015г.,«ЧЕМПИОНАТ РОССИЙСКИХ ПОРОД»,"Клуб любителей кошек ""Камея"";"
31 октября - 1 ноября 2015г.,«ЧЕМПИОНАТ РОССИЙСКИХ ПОРОД»,"КЛК ""Камея"";"
17-18 октября 2015г.,«СУПЕР КУБОК СИБИРИ 2015»,ZOOSTAR;
11 октября 2015г.,«ПРАЙД»,КЛК «ПРАЙД»;
11 октября 2015г.,«УДИВИТЕЛЬНЫЕ КОШКИ ОСЕНЬ-2015»,Региональный кинолого-фелинологический центр  «Гранд+» ;
10-11 октября 2015г.,«ЭЛИТКЭТ»,ЭЛИТКЭТ;
10-11 октября 2015г.,«АК БАРС»,АК БАРС;
10-11 октября 2015г.,«БАСТИС»,"КЛК ""БАСТИС"";"
10-11 октября 2015г.,«ЗОЛОТАЯ КОЛЛЕКЦИЯ»,"""ЗООМИР"" и ""ЭМЕРАЛЬД"";"
10-11 октября 2015г.,«GLOBALCAT»,"КЛК Багира, КЛК Felidae, КЛК Jeweler Work, КЛК Acanit ;"
10-11 октября 2015г.,«ОСЕННИЕ ДЕНЬКИ»,Фелинологическая Федерация Республики Башкортостан  и Фелинологический Клуб «VERITAS-CATS»;
10-11 октября 2015г.,«У ЛУКОМОРЬЯ»,Elit Cats Club ;
10-11 октября 2015г.,«ВСЕМИРНАЯ»,"КЛК ""КОТОФЕЙ""  КЛК ""АМУР НЕВА""  КЛК ""КОРГОРУШИ""  КЛК ""МОККО"";"
10-11 октября 2015г.,«ИМПЕРАТОРСКИЙ РАУНД»,Империя Кошек;
4 октября 2015г.,«ЗОЛОТАЯ КОШКА 2015»,"«Элитар-клуб» с РОО КФПЦ ""Золотой Торум"";"
3-4 октября 2015г.,«ЖЕМЧУЖИНА ТИХОГО ОКЕАНА»,"КЛК "" Восток"";"
3-4 октября 2015г.,«ЛЮКС»,ЛЮКС;
3-4 октября 2015г.,«ФЛАГМАН»,Flagman Cat Club;
3-4 октября 2015г.,«КУБОК СТАУТ - 2015»,Кэт Лэнд Юг;
3-4 октября 2015г.,«ЗОЛОТАЯ ОСЕНЬ»,JetCat ;
3-4 октября 2015г.,«РУССКАЯ КРАСАВИЦА»,Кошкин дом;
3-4 октября 2015г.,«В ГОСТЯХ У САФФИ»,Саффи ;
3-4 октября 2015г.,«КОРГОРУШИ»,РФОО «Коргоруши»;
3-4 октября 2015г.,«СОСНОВОБОРСКАЯ МОЗАИКА»,"КЛК ""Сайме"";"
3-4 октября 2015г.,«ПУШИСТОЕ РИО»,Мрамур;
3-4 октября 2015г.,«КУБОК СИБИРСКИХ АФИН»,Олимпия К;
3-4 октября 2015г.,«КОНФЕТТИ»,КЛК Конфетти ;
3-4 октября 2015г.,«ТИМАНСКИЕ ЗОРИ ТЕПЛЫЕ КОТЫ УХТА - 2015»,KomiNet;
3-4 октября 2015г.,« КОРОЛЕВСКИЙ БАРХАТ»,"ФПЦ ""Королевский бархат"";"
27 сентября 2015г.,«САНТАНА »,"ФПЦ ""Сантана"";"
26-27 сентября 2015г.,«МАТИЛЬДА В КРАСКАХ ОСЕНИ»,КЛК Матильда ;
26-27 сентября 2015г.,«ВЛАДИМИРСКАЯ ОСЕНЬ-2015»,КЛК Мономах ;
26-27 сентября 2015г.,«ЭТА РЫЖАЯ КОШКА - ОСЕНЬ »,"Белорусский Фелинологический Центр ""Фелита"";"
26 сентября 2015г.,«ПРОДАЖА КОТЯТ»,ФК Альянс ;
26 сентября 2015г.,«ПРОДАЖА КОТЯТ»,"Клуб любителей кошек ""Москва"";"
26-27 сентября 2015г.,«ВСЕМИРНАЯ»,"Клуб Котомир, АКЛК «Котофей»,  РФОО «Коргоруши»;"
26 сентября 2015г.,«AURINKO»,"Клуб Любителей Кошек ""AURINKO"";"
26-27 сентября 2015г.,"«АХ, КАК МНОГО НА СВЕТЕ КОШEК»",Алиса Бест;
26-27 сентября 2015г.,«RUI CAT SHOW»,ПФЦ Триумф ;
20 сентября 2015г.,«РЕКЛАМА-ПРОДАЖА КОТЯТ АБСОЛЮТНЫЙ КОТ»,"КЛК ""Абсолютный кот"";"
19-20 сентября 2015г.,«ПАРАД ЧЕМПИОНОВ»,КЛК Leoruss ;
19-20 сентября 2015г.,«КРАСКИ ОСЕНИ»,елинологический центр « Сити Кэт’с»;
19-20 сентября 2015г.,«1000 И ОДНА КОШКА»,Фелинологический племенной центр «Catland NN»;
19-20 сентября 2015г.,«БАРХАТНЫЕ СЕЗОНЫ В СОЧИ»,"Сочинский КЛК  ""ДИАМАНТ-КРИСТАЛЛ"" ;"
19 сентября 2015г.,«ГЛАМУРНЫЕ И РОСКОШНЫЕ»,"БМОО «КЛК «ВАСИЛЕВС» и ФЦ ""FelinaBest"";"
13 сентября 2015г.,«КИС-КИС»,"Клуб Любителей Кошек ""КИС-КИС"";"
13 сентября 2015г.,«KALUGABEST»,«KalugaBest»;
12 сентября 2015г.,«В ГОСТЯХ У САФФИ »,Общество любителей кошек «Саффи» ;
12-13 сентября 2015г.,«АК БАРС»,"Межрегиональный фелинологический центр ""АК БАРС"";"
12-13 сентября 2015г.,«ВЯЛIКI ФЭСТ - КУБАК БЕЛАРУСI»,"Union Cats, Best BY Cats ;"
12-13 сентября 2015г.,«СЕЗОН РУССКОЙ КОШКИ - 2015»,Объединение Любителей Сибирских Кошек им. Павловой Т.Е.;
12-13 сентября 2015г.,«FOREST CAT SHOW 2015»,Felidae;
12-13 сентября 2015г.,«ОСЕНЬ-РЫЖАЯ КОШКА»,КЛК «Fancy cat»;
12-13 сентября 2015г.,«MEGA-CAT»,КЛК Mega-Cat;
12-13 сентября 2015г.,«СЕРЕБРЯННАЯ КОШКА-2015»,ЕАФА КАТУС;
12-13 сентября 2015г.,«АЛИСА-БЕСТ»,"Клуб любителей кошек ""Алиса-Бест"";"
5-6 сентября 2015г.,«ЗОЛОТАЯ КОШКА ВИТЕБСКА»,"Клуб ""МИСТЕР КОТ"";"
5-6 сентября 2015г.,«ЗОЛОТАЯ КОШКА – ВОЛГОГРАД»,"МФЦ ""Мега-Центр"";"
5-6 сентября 2015г.,«ИРБИС»,Общество Любителей Кошек «ИРБИС»;
5-6 сентября 2015г.,«ЦВЕТОК САКУРЫ»,Превосходные кошки;
5-6 сентября 2015г.,«БОМОНД »,Клуб Любителей Кошек «Бомонд»;
5-6 сентября 2015г.,«ЮБИЛЕЙНАЯ - 10 ЛЕТ КЛУБУ»,КЛК «Танаис Кэт»;
5-6 сентября 2015г.,«ПЛАНЕТА КОШEК»,"Клуб ""ГлаМурр"";"
29-30 августа 2015г.,«КУБОК МАРИЙ ЭЛ»,Фелинологический центр «Йошкин кот»;
29-30 августа 2015г.,«АВГУСТЕЙШЕЕ ВЕЛИЧЕСТВО»,"""Фелинологический центр ""КУЗБАСС КОТ"";"
29-30 августа 2015г.,«КУБОК HUSSE»,КЛУБ ПОРОДИСТЫХ КОШЕК «KRASCATS»;
29-30 августа 2015г.,«КЭТ-САЛОН-АВГУСТ»,"клуб любителей кошек ""Москва"";"
22-23 августа 2015г.,«РЫЖИЙ АВГУСТ»,Вологодский Фелинологический Центр «Эдельвейс»;
22-23 августа 2015г.,«КАПРИЗ»,"Фелинологический центр ""Каприз"";"
22-23 августа 2015г.,«ЛЕТОКОТ»,КЛК Супер Кот ;
22-23 августа 2015г.,«ЛЕТНИЙ КУБОК КОТ-ИНФО»,"Клуб ""ФАУНА"";"
22 августа 2015г.,«ЛЕТО И КОШКИ - 2015»,клуб любителей кошек Багира;
22-23 августа 2015г.,«ГРАН ПРИ ПЛЕСКАВЫ 2015»,Клуб Любителей Кошек «Плескава»;
22-23 августа 2015г.,«СУПЕР КОТ »,КЛК Супер Кот ;
22-23 августа 2015г.,«FELICITY»,ФелиСити;
22-23 августа 2015г.,«ОСТРОВ СОКРОВИЩ»,Клуб Любителей Кошек «АРГУС Юг»;
15-16 августа 2015г.,«КОРОЛЕВСКИЕ КОШКИ КАВКАЗА»,Фелинологическая Ассоциация Заводчиков «Королевские Кошки» ;
15-16 августа 2015г.,«ЖЕМЧУЖИНА -2015»,МКЛК  «Жемчужина»;
15-16 августа 2015г.,«МОСКОВСКИЙ ФЕСТИВАЛЬ КОТЯТ»,КЛК Созвездие ;
15-16 августа 2015г.,«ПРЯНИЧНЫЕ КОШКИ»,"Тульский клуб ""МИКС"";"
8-9 августа 2015г.,«КУБОК КУЗБАССА - 2015»,"УРОФО ""Грация"";"
8-9 августа 2015г.,«CAT -ВЕРНИСАЖ»,"КЛК ""Бон-Ами"";"
8-9 августа 2015г.,«ЛЕТНИЙ АЛЬЯНС-2015»,ФК Альянс;
1-2 августа 2015г.,«КУБОК ГАТЧИНЫ – 5 ЛЕТ!»,"Объединение любителей кошек «Эйлур», Санкт-Петербург Клуб любителей кошек «Приорат», Гатчина;"
1-2 августа 2015г.,«МОРСКОЙ КИС-БОМОНД»,КЛК Абсолют;
1-2 августа 2015г.,«ГРАНД & ГЛАМУР»,"КЛК""ГРАНД"", КЛК""ГЛАМУР”;"
26 июля 2015г.,«ЖАРКИЙ ВАЛЬС ЦВЕТОВ»,Звезда запада	;
25-26 июля 2015г.,«ULTRAMARINE-2015»,КЛК Параллель;
25-26 июля 2015г.,«АК БАРС»,"Межрегиональный фелинологический центр ""АК БАРС"";"
25-26 июля 2015г.,«ЦВЕТОК САКУРЫ»,"КЛК ""Превосходные кошки"";"
25-26 июля 2015г.,«БАГИРА + ЭЛИТ»,"Bageera Cat Club, Elite Cat Club;"
25-26 июля 2015г.,«ЗОЛОТАЯ КОШКА УФЫ»,ФЕЛИНОЛОГИЧЕСКАЯ ФЕДЕРАЦИЯ  РЕСПУБЛИКИ БАШКОРТОСТАН ;
18-19 июля 2015г.,«ФАКТОР Б: КОШКИ В ОТПУСКЕ!»,Клуб породистых кошек «Богема»;
18-19 июля 2015г.,«КОТ ПУТЕШЕСТВЕННИК»,Клуб Любителей Кошек «Плескава»;
18-19 июля 2015г.,«МЫ С УРАЛА!»,Клуб любителей кошек «Funny Cat»;
11-12 июля 2015г.,«ОДНАЖДЫ В СКАЗКЕ»,"КЛК ""Магия кошек"";"
11-12 июля 2015г.,«БАСТЕТ-ШОУ»,клуб любителей кошек БАСТ;
11-12 июля 2015г.,«ЛЕТНИЕ ЦАРАПКИ»,"Клуб Любителей Кошек ""Funny Cat Club"";"
11-12 июля 2015г.,«КОТОФЕЙ НА ДАЧЕ - OPEN AIR 2015»,КЛК Котофей ;
11-12 июля 2015г.,"«ЛЕТО, АХ ЛЕТО»",КЛК Маркиза ;
27-28 июня 2015г.,«КУБОК БЕЛОГО ГОРОДА»,Кошки Белогорья ;
27-28 июня 2015г.,«КУБОК УРАЛА – 2015»,"УРОФО ""Грация"";"
27-28 июня 2015г.,«КОШКИ И ГОРОД»,клуб «Королевская династия»;
27-28 июня 2015г.,"«ЛЕТО, СОЛНЦЕ, КОШКИ»","Фелинологический племенной центр ""КЭТТИ"";"
27 июня 2015г.,«ДЕНЬ КОШEК»,ФК Альфа Кот ;
20 июня 2015г.,«ОРАНЖЕВОЕ ЛЕТО»,"Кошачье царство, Владивосток:  ;"
20-21 июня 2015г.,«ВОРОНЕЖСКОЕ СОЛНЫШКО»,КЛК Параллель ;
20-21 июня 2015г.,«ЗВЕЗДА СОЛНЦА»,ВФЦ «АСТРА»;
20-21 июня 2015г.,«КУБОК ПРЕСТИЖА-2015 СЕВЕРО-КАВКАЗСКОГО ФЕДЕРАЛЬНОГО ОКРУГА»,"Пятигорский клуб любителей кошек ""ПРЕСТИЖ"";"
20-21 июня 2015г.,«КУБОК КРЫМА - 2015»,ЗЦ Гарфильд ;
13 июня 2015г.,«ЦВЕТОК САКУРЫ»,Клуб Превосходные кошки;
13-14 июня 2015г.,«МЯУ ШОУ-КУБОК СОЛНЦА»,"Клуб любителей кошек ""Комильфо"";"
13-14 июня 2015г.,«КРАСКИ ЛЕТА»,Фелинологический центр «Экселлент»;
12-13 июня 2015г.,«СИРЕНЕВОЕ ТАНГО»,"ВФЦ ""Эдельвейс"";"
12-13 июня 2015г.,«КОТОФЕЙ НА ДАЧЕ - OPEN AIR 2015»,"КЛК ""Котофей"";"
12 июня 2015г.,«СОЛОВЬИНАЯ РАПСОДИЯ»,"""Зеленоградская Жемчужина"" Клуб Любителей Породистых Кошек;"
12 июня 2015г.,«ЛЕТНИЙ АЛЬЯНС-2015»,ФК Альянс ;
12-13 июня 2015г.,«СИБИРИАДА - 2015»,клуб Котомир;
12-14 июня 2015г.,"«КАК  ЗДОРОВО, ЧТО ВСЕ МЫ ЗДЕСЬ СЕГОДНЯ СОБРАЛИСЬ»",КЛК Диамант-Кристалл ;
